Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value,Is Rookie,Data Status
281,Jameis Winston,NYG,QB,33,14,170.0,29.97,,No,Partial Data
282,Austin Hooper,NE,TE,37,14,170.0,56.41,,No,Partial Data
407,Dillon Gabriel,CLE,QB,48,9,170.1,13.96,,No,Partial Data
116,Shedeur Sanders,CLE,QB,13,9,168.6,13.96,,No,Partial Data
185,Will Dissly,LAC,TE,25,12,169.9,30.37,,No,Partial Data
283,Tyler Johnson,NYJ,WR,107,9,170.0,16.66,,No,Partial Data
284,Marcus Mariota,WAS,QB,34,12,170.0,18.0,,No,Partial Data
161,Hunter Renfrow,CAR,WR,53,14,169.8,30.25,,No,Partial Data
285,Jordan Watkins,SF,WR,108,14,170.0,17.7,,No,Partial Data
186,Mac Jones,SF,QB,21,14,169.9,27.24,,No,Partial Data
286,George Holani,SEA,RB,72,8,170.0,16.07,,No,Partial Data
287,Devontez Walker,BAL,WR,109,7,170.0,17.92,,No,Partial Data
408,Emanuel Wilson,GB,RB,108,5,170.1,37.53,,No,Partial Data
379,Isaiah Bond,CLE,WR,145,9,,0.0,,Yes,Insufficient Data
288,Jake Bobo,SEA,WR,110,8,170.0,19.5,,No,Partial Data
162,Dawson Knox,BUF,TE,20,7,169.8,70.42,,No,Partial Data
289,Cade Stover,HOU,TE,38,6,170.0,42.72,,No,Partial Data
290,Sterling Shepard,TB,WR,111,9,170.0,48.38,,No,Partial Data
291,Gunnar Helm,TEN,TE,39,10,170.0,44.04,,No,Partial Data
292,Konata Mumpfield,LAR,WR,112,8,170.0,0.0,,Yes,Insufficient Data
293,Tyler Badie,DEN,RB,73,12,170.0,12.67,,No,Partial Data
409,Brashard Smith,KC,RB,109,10,170.1,35.58,2,No,Complete
294,Derius Davis,LAC,WR,113,12,170.0,14.83,,No,Partial Data
295,Josh Oliver,MIN,TE,40,6,170.0,28.05,,No,Partial Data
296,Tylan Wallace,BAL,WR,114,7,170.0,13.52,,No,Partial Data
297,Sam Howell,MIN,QB,35,6,170.0,9.93,,No,Partial Data
298,Foster Moreau,NO,TE,41,11,170.0,74.93,,No,Partial Data
393,Patrick Taylor,SF,RB,106,14,,2.25,,No,Partial Data
299,Charlie Jones,CIN,WR,115,10,170.0,17.62,,No,Partial Data
300,Ben Sinnott,WAS,TE,42,12,170.0,51.17,,No,Partial Data
187,Malik Willis,GB,QB,22,5,169.9,27.03,,No,Partial Data
188,Luke Musgrave,GB,TE,26,5,169.9,44.62,,No,Partial Data
301,Jeremy McNichols,WAS,RB,74,12,170.0,11.61,,No,Partial Data
302,Tommy Tremble,CAR,TE,43,14,170.0,9.97,,No,Partial Data
303,John Metchie III,PHI,WR,116,9,170.0,16.91,,No,Partial Data
304,Luke Schoonmaker,DAL,TE,44,10,170.0,47.51,,No,Partial Data
305,Jake Browning,CIN,QB,36,10,170.0,30.02,,No,Partial Data
306,Trey Lance,LAC,QB,37,12,170.0,30.17,,No,Partial Data
307,Mason Rudolph,PIT,QB,38,5,170.0,48.74,,No,Partial Data
308,Julius Chestnut,TEN,RB,75,10,170.0,42.95,,No,Partial Data
189,Gardner Minshew,KC,QB,23,10,169.9,36.38,,No,Partial Data
309,Austin Trammell,JAX,WR,117,8,170.0,0.0,,No,Insufficient Data
408,Indianapolis Colts DST,IND,DST,21,11,,99.63,,No,Partial Data
310,Jacoby Brissett,ARI,QB,39,8,170.0,36.01,,No,Partial Data
133,Jake Moody,SF,K,8,14,169.3,136.89,,No,Partial Data
142,Jason Myers,SEA,K,10,8,169.5,139.15,,No,Partial Data
311,Ben Skowronek,PIT,WR,118,5,170.0,41.64,,No,Partial Data
190,Tanner McKee,PHI,QB,24,9,169.9,27.09,,No,Partial Data
