Player,Team,POS,ATT,YDS,TDS,REC,FL,FPTS
Keleki Latu,BUF,TE67,0.0,111.0,1.0,10.0,0.0,27.1
Amar Johnson,GB,RB95,35.0,26.0,0.0,2.0,0.0,27.0
Savion Williams,GB,WR142,4.4,104.8,0.8,9.1,0.0,26.5
Colby Parkinson,LAR,TE68,0.0,106.5,0.9,10.6,0.0,26.3
Clyde Edwards-Helaire,NO,RB96,36.9,42.9,0.3,5.7,0.1,26.3
Connor Heyward,PIT,TE69,0.0,87.6,1.2,10.2,0.0,25.9
Dameon Pierce,HOU,RB97,19.3,33.6,0.1,5.1,0.7,25.0
Tyler Goodson,IND,RB98,30.0,31.3,0.3,4.7,0.0,24.8
Hassan Haskins,LAC,RB99,30.8,42.2,0.5,5.3,0.3,24.7
Chris Blair,ATL,WR143,0.0,106.2,0.7,9.4,0.0,24.4
Olamide Zaccheaus,CHI,WR144,1.1,100.6,0.7,9.4,0.1,24.3
Sincere McCormick,LV,RB100,23.7,29.9,0.1,4.3,0.1,23.5
Mack Hollins,NE,WR145,0.0,102.1,0.8,8.2,0.0,23.3
Drew Sample,CIN,TE70,0.0,82.9,0.8,10.4,0.0,23.2
Ty Chandler,MIN,RB101,18.9,34.7,0.1,5.0,0.0,22.7
Drew Ogletree,IND,TE71,0.0,97.0,0.8,7.6,0.0,22.2
Tylan Wallace,BAL,WR146,0.0,87.6,0.9,6.7,0.0,20.9
Hunter Renfrow,CAR,WR147,0.0,91.4,0.4,9.3,0.0,20.8
Simi Fehoko,ARI,WR148,0.0,91.6,0.7,7.6,0.0,20.7
Jeremy McNichols,WAS,RB102,21.9,15.3,0.0,2.7,0.0,20.4
Julius Chestnut,TEN,RB103,10.4,40.2,0.2,5.5,0.0,20.4
Michael Burton,DEN,RB104,6.7,45.6,0.6,7.1,0.0,20.2
Sterling Shepard,TB,WR149,0.8,80.3,0.5,7.7,0.0,19.6
Tim Jones,MIN,WR150,0.0,83.2,0.6,7.4,0.1,19.4
Craig Reynolds,DET,RB105,8.5,55.1,0.4,6.9,0.0,19.2
Nate Adkins,DEN,TE72,0.0,54.8,1.1,7.0,0.0,19.0
Lucas Krull,DEN,TE73,0.0,79.8,0.4,8.3,0.0,18.6
Cedrick Wilson Jr.,NO,WR151,0.0,78.2,0.5,7.1,0.0,18.2
Hunter Long,JAC,TE74,0.0,76.0,0.4,8.4,0.0,18.2
Quintin Morris,JAC,TE75,0.0,71.5,0.5,7.9,0.0,18.1
Gavin Bartholomew,MIN,TE76,0.0,75.0,0.6,7.0,0.0,18.0
Brevyn Spann-Ford,DAL,TE77,0.0,69.7,0.6,7.3,0.0,18.0
Jamal Agnew,ATL,WR152,0.0,73.5,0.6,7.1,0.1,17.9
Michael Carter,ARI,RB106,9.6,45.0,0.3,6.6,0.0,17.9
Alec Ingold,MIA,RB107,8.9,44.1,0.4,6.1,0.4,17.8
