player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Jaycee Horn,83375,CB,CAR,2,2,,2.0,5,0,39.6,0,1,0,0,0,0.0
Kindle Vildor,49346,CB,DET,6,9,,9.0,11,0,39.6,0,1,0,0,0,0.0
Demone Harris,48452,ED,ATL,1,5,,5.0,2,0,39.6,0,1,0,0,0,0.0
Taylor Rapp,51172,S,BUF,13,44,44.0,22.0,4,0,56.3,1,2,0,6,2,0.14
Cam Taylor-Britt,83326,CB,CIN,15,40,40.0,8.0,7,0,39.6,1,5,0,11,-1,0.28
Chad Muma,75818,LB,JAX,6,29,29.0,29.0,15,0,87.5,1,1,0,5,1,0.17
Marcus Williams,11797,S,BLT,7,29,29.0,9.7,3,0,75.7,1,3,0,33,20,1.14
Percy Butler,83271,S,WAS,13,28,28.0,14.0,32,0,62.5,1,2,0,9,4,0.32
Pat Surtain II,83119,CB,DEN,15,52,26.0,10.4,10,0,64.6,2,5,0,35,7,0.67
Evan Williams,73864,S,GB,11,49,24.5,9.8,12,0,48.8,2,5,0,16,9,0.33
Levi Wallace,25445,CB,DEN,10,24,24.0,12.0,10,0,56.3,1,2,0,5,0,0.21
DJ Ivey,76670,CB,CIN,8,22,22.0,7.3,7,0,42.4,1,3,0,8,2,0.36
Nakobe Dean,99018,LB,PHI,15,44,22.0,8.8,24,1,9.2,2,5,0,16,11,0.36
Calen Bullock,146424,S,HST,9,21,21.0,10.5,13,0,56.3,1,2,0,4,9,0.19
